"","gene_symbol","mean_rank","median_rank","direction_foldchange"
"1267","Zbtb8os",1316.27777777778,1114.5,-1
"1268","Hsd17b13",1316.27777777778,1453.5,1
"1269","Wdr18",1316.88888888889,1408,-1
"1270","Esrp2",1317.16666666667,1241.5,-1
"1271","Leprot",1317.61111111111,1379,1
"1272","Mrps5",1317.83333333333,1394,-1
"1273","Tor1aip2",1318.05555555556,1227.5,-1
"1274","Ankrd27",1318.5,1495.5,1
"1275","Bak1",1318.55555555556,1166.5,1
"1276","Sgms1",1318.72222222222,1325.5,1
"1277","Lonp2",1319.22222222222,1251,-1
"1278","Med8",1320.22222222222,1273.5,-1
"1279","Nfib",1320.38888888889,1216,-1
"1280","Slc25a21",1321.22222222222,1344,-1
"1281","Slc25a3",1321.38888888889,1155,-1
"1282","Dgkz",1321.66666666667,1153.5,1
"1283","Adora1",1321.88888888889,1377,1
"1284","Cbr4",1322.16666666667,1367.5,-1
"1285","Snx1",1322.27777777778,1584.5,1
"1286","Galnt7",1323.22222222222,1064.5,1
"1287","Dnajc19",1323.72222222222,1251,-1
"1288","Dlg3",1324.05555555556,1239,-1
"1289","Mapk3",1324.11111111111,1129.5,1
"1290","Dync1li2",1325,1250.5,1
"1291","Ripk2",1325.27777777778,1090,1
"1292","Akr1e1",1325.55555555556,1300.5,-1
"1293","Ppa2",1326.22222222222,1308,-1
"1294","Lrp2bp",1326.38888888889,1304.5,-1
"1295","Aldh7a1",1326.66666666667,1383.5,-1
"1296","Cp",1327.55555555556,1205,1
"1297","Aifm1",1328.27777777778,1385,-1
"1298","Pfkfb1",1328.27777777778,1541,-1
"1299","C1qbp",1328.33333333333,1439,-1
"1300","Tom1l1",1328.44444444444,1113,-1
"1301","Capn1",1328.55555555556,1095.5,1
"1302","Cd59b",1328.61111111111,1452.5,-1
"1303","Fam184a",1328.66666666667,1100,-1
"1304","1600020E01Rik",1328.77777777778,1318.5,-1
"1305","Gphn",1329,1548,-1
"1306","Pld2",1329.55555555556,1411,1
"1307","Iqsec1",1330.22222222222,1383.5,1
"1308","Tusc2",1330.27777777778,1173,-1
"1309","Psmb7",1330.61111111111,1406.5,-1
"1310","Notum",1330.83333333333,1261,-1
"1311","Cpped1",1332.11111111111,1237,-1
"1312","Bcl9",1333.38888888889,1131,1
"1313","Abcd2",1333.5,1575,1
"1314","Glyctk",1333.83333333333,1177,-1
"1315","Nadk2",1334,1322.5,-1
"1316","Sap18",1334.5,1413.5,-1
"1317","Cdadc1",1334.66666666667,1325.5,-1
"1318","Gm15343",1334.77777777778,963,-1
"1319","Gopc",1335,1292.5,-1
"1320","Tmem242",1335.38888888889,1646,-1
"1321","Nrbp2",1335.55555555556,1627.5,-1
"1322","Hars2",1335.88888888889,1357.5,-1
"1323","Ubl5",1336,1147.5,-1
"1324","Rpf1",1336.5,1247,-1
"1325","Gid8",1336.61111111111,1247.5,-1
"1326","Pex11g",1336.61111111111,1102,-1
"1327","Eef1d",1336.77777777778,1289,-1
"1328","Il6st",1336.77777777778,1191,1
